CAINC4 Personal Income and Employment by Major Component,,,,,,,,,
Per capita personal income (Dollars) 4/ ,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,
County,,,,,,,,,
GeoFips,GeoName,2011,2012,2013,2014,2015,2016,2017,2018
8015,"Chaffee, CO",32568,34187,35556,38970,41141,42419,44340,46998
8017,"Cheyenne, CO",58296,52311,55512,52593,52444,49789,56640,56699
8019,"Clear Creek, CO",46579,48218,50227,52126,55989,56271,57914,61300
8021,"Conejos, CO",26670,27352,29099,29684,33742,33689,34424,36894
8023,"Costilla, CO",27462,27139,28859,29683,32754,32046,32846,34282
8025,"Crowley, CO",16216,17981,18418,18464,22321,22499,19263,19141
8027,"Custer, CO",34297,33803,37234,40120,42277,40092,39608,41681
8029,"Delta, CO",31394,31475,32032,33209,33941,33511,36373,38855
8031,"Denver, CO",54237,57886,61721,68046,66887,63912,74396,79849
8033,"Dolores, CO",29618,30489,31901,33107,35406,31756,33542,34935
8035,"Douglas, CO",56706,60616,62502,66059,67531,68525,70029,73662
8037,"Eagle, CO",46386,48284,55251,60847,66240,67973,73114,78152
8039,"Elbert, CO",48300,44316,47165,49018,51130,52877,54624,57334
8041,"El Paso, CO",40127,41196,41217,43196,44661,44858,46692,48467
8043,"Fremont, CO",26738,27667,28719,30282,32018,32668,33558,35435
8045,"Garfield, CO",40312,41981,45069,50364,56004,53374,55931,59653
8047,"Gilpin, CO",35665,35850,40961,41599,43680,44830,45826,48128
8049,"Grand, CO",32810,35715,38630,41356,43871,44109,46817,49845
8051,"Gunnison, CO",35496,36392,37636,40429,41838,43240,44676,47149
8053,"Hinsdale, CO",37902,40839,40027,43916,46169,47152,49886,50698
8055,"Huerfano, CO",32110,33431,34563,36531,38682,40006,40864,42459
8057,"Jackson, CO",39800,35617,38346,40861,45251,43972,45186,49723
8059,"Jefferson, CO*",47339,49316,51327,54563,56921,57885,60206,63536
8061,"Kiowa, CO",50595,53167,57679,52054,51030,50980,52095,50117
8063,"Kit Carson, CO",36108,36595,34618,35048,33303,35270,37887,37274
8065,"Lake, CO",27550,29166,30301,31788,33119,33337,34801,37106
8067,"La Plata, CO",43351,47334,54610,58704,54899,52412,53026,55807
8069,"Larimer, CO",39106,40920,42560,45166,46943,48225,51497,54188
8071,"Las Animas, CO",30697,32111,34619,37013,36762,37662,38267,40765
8073,"Lincoln, CO",27977,27771,23994,26915,26260,25263,26641,28828
8075,"Logan, CO",40754,44939,47586,49672,51227,49807,47303,48161
8077,"Mesa, CO",35441,37075,37720,39987,40293,39828,42239,44935
8079,"Mineral, CO",46989,51491,56613,62531,64591,63811,66179,71095
8081,"Moffat, CO",35602,37026,39346,40342,40678,39176,39806,42130
8083,"Montezuma, CO",32445,34131,35614,39527,40443,39596,40316,42998
8085,"Montrose, CO",30501,31906,32297,34155,35652,36238,37663,39930
8087,"Morgan, CO",34229,35999,36658,40285,41729,41814,42986,45685
8089,"Otero, CO",30788,31485,32221,33686,36240,35770,36194,38190
8091,"Ouray, CO",41267,43926,47780,51437,53996,55449,56013,59639
8093,"Park, CO",34679,35846,36585,37785,39873,41331,43280,45113
8095,"Phillips, CO",43720,41788,41844,42886,41450,44075,42654,44399
8097,"Pitkin, CO",95519,112802,103266,126611,131105,136366,138328,149207
8099,"Prowers, CO",33910,35800,38328,38358,41574,40961,40067,42259
8101,"Pueblo, CO",30774,31654,32050,33932,35534,36228,37540,39511
8103,"Rio Blanco, CO",41123,41238,43940,46236,45785,42729,44284,46809
8105,"Rio Grande, CO",34523,35054,36407,38583,43268,43524,43609,46717
8107,"Routt, CO",60316,60579,60175,65316,69580,69428,78253,83702
8109,"Saguache, CO",28109,26202,26416,27918,31317,30364,28846,30172
8111,"San Juan, CO",39828,45428,55828,51124,58433,46639,45219,44029
8113,"San Miguel, CO",50964,53133,62192,73513,79305,75263,80349,85432
8115,"Sedgwick, CO",47159,48797,51600,54366,51153,48141,48630,49004
8117,"Summit, CO",46150,48398,51422,55566,59016,61033,63601,67763
8119,"Teller, CO",41183,41990,42345,43980,45953,46057,47164,49197
8121,"Washington, CO",40783,40447,41490,44093,41288,40130,38071,44687
8123,"Weld, CO*",35061,37098,38798,42346,43807,43632,44173,46172
8125,"Yuma, CO",44890,50058,50217,52760,54869,52258,50062,50364
9001,"Fairfield, CT",104090,103660,97226,102612,104396,107221,112769,120630
9003,"Hartford, CT",53351,54804,55286,57564,59438,60291,61938,64853
9005,"Litchfield, CT",52315,55411,55231,56884,58658,59880,61387,64949
9007,"Middlesex, CT",54911,57841,58015,60909,62853,63956,65598,68673
9009,"New Haven, CT",46784,48088,48586,50286,51817,52621,53605,56650
9011,"New London, CT",48443,49425,49476,51200,53686,54805,56545,59264
9013,"Tolland, CT",47234,48797,48793,50980,52107,53227,54193,56614
9015,"Windham, CT",39060,39901,40062,41381,42732,43740,45004,47264
10001,"Kent, DE",35362,35689,36270,37265,37957,39074,40438,42023
10003,"New Castle, DE",48462,47977,47494,49300,51163,51859,54198,56745
10005,"Sussex, DE",38569,40519,42546,44425,47768,47517,48601,50333
11001,"District of Columbia, DC",67441,68418,67939,71334,75439,77475,78969,82005
12001,"Alachua, FL",36768,36710,36900,38638,39951,40608,42455,44390
12003,"Baker, FL",26386,26591,26551,27633,28950,29613,31076,32313
12005,"Bay, FL",37720,37478,37367,38787,40404,41019,41499,43231
12007,"Bradford, FL",26167,27930,28877,30006,31271,31464,32876,33557
